01:15:15,494 INFO  [MauiModelBuilder] -- Building the model... 
01:15:15,616 INFO  [MauiModelBuilder] --- Loading the vocabulary...
01:15:15,622 INFO  [Vocabulary] --- Loading RDF model from the SKOS file...
01:15:16,161 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 9 column 35): {W130} Base URI is "", relative URIs left as relative.: <r>
01:15:16,172 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 12 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/1>
01:15:16,252 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 15 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/2>
01:15:16,253 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 18 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/3>
01:15:16,254 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 21 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/4>
01:15:16,255 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 24 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/5>
01:15:16,256 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 27 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/6>
01:15:16,257 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 30 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/7>
01:15:16,258 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 33 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/8>
01:15:16,259 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 36 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/9>
01:15:16,263 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 39 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/10>
01:15:16,264 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 42 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/11>
01:15:16,265 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 45 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/12>
01:15:16,266 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 48 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/13>
01:15:16,267 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 51 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/14>
01:15:16,268 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 54 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/15>
01:15:16,269 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 57 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/16>
01:15:16,270 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 60 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/17>
